TIMESTAMP,CPU,MEMORY,MOUSE_X,MOUSE_Y,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl,anomaly
1704586745482255800,14.5,59.6,656,748,0,2,0,0,0,0,0,0,0,0,0,0,0
1704586746505185700,12.3,59.6,1114,310,0,3,0,0,0,0,0,0,0,0,0,0,0
1704586747525121000,16.3,59.7,1052,719,0,1,0,0,0,0,0,0,0,0,0,0,0
1704586748550053000,13.4,59.6,1141,651,0,2,0,0,0,0,0,0,0,0,0,0,0
1704586749574488300,13.6,59.6,855,1027,0,2,0,0,0,0,0,0,0,0,0,0,0
1704586750595424300,15.2,59.6,951,846,0,2,0,0,0,0,0,0,0,0,0,0,0
1704586751618354000,12.3,59.6,829,1043,0,3,0,0,0,0,0,0,0,0,0,0,0
1704586752643285800,13.5,59.6,739,994,0,2,0,0,0,0,0,0,0,0,0,0,0
1704586753666728300,14.6,59.6,956,1063,0,3,0,0,0,0,0,0,0,0,0,0,0
1704586754689658300,17.8,59.6,1327,644,0,1,0,0,3,0,0,0,0,0,0,0,0
1704586755712588300,13.1,59.6,618,881,0,2,0,0,0,0,0,0,0,0,0,0,0
1704586756734524800,15.6,59.6,641,1067,0,2,0,0,0,0,0,0,0,0,0,0,0
1704586757759456400,20.1,59.6,282,1410,0,3,0,0,0,0,0,0,0,0,0,0,0
1704586758778382600,14.8,59.6,520,1290,0,3,0,0,0,0,0,0,0,0,0,0,0
1704586759801312800,13.1,59.6,867,1092,0,2,0,0,0,0,0,0,0,0,0,0,0
1704586760825747200,14.5,59.6,658,1295,0,3,0,0,0,0,0,0,0,0,0,0,0
1704586761848181100,10.7,59.6,682,1336,0,2,0,0,0,0,0,0,0,0,0,0,0
1704586762868130700,15.6,59.6,318,1177,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586763893062600,13.1,59.6,608,432,0,2,0,0,0,0,0,0,0,0,0,0,0
1704586764917993900,15.1,59.7,1143,329,0,3,0,0,0,0,0,0,0,0,0,0,0
1704586765936920500,12.5,59.6,1265,469,0,1,0,0,0,0,0,0,0,0,0,0,0
1704586766961851900,11.8,59.6,1507,460,0,3,0,0,0,0,1,0,0,0,0,0,0
1704586767984782200,24.2,59.6,1027,472,0,1,0,0,0,0,1,0,0,0,0,0,0
1704586769005710300,17.9,59.7,1271,460,0,0,0,0,0,0,2,0,0,0,0,0,0
1704586770030145400,18.1,59.8,1203,340,0,1,0,0,0,0,1,0,0,0,0,0,0
1704586771051073700,20.1,59.9,1513,228,0,1,0,0,0,0,1,0,0,0,0,0,0
1704586772072001800,15.6,59.9,1524,668,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586773091454700,14.6,59.9,1799,598,2,0,0,0,0,0,0,0,0,0,0,0,0
1704586774112630500,23.4,59.9,625,1223,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586775134320300,20.4,59.8,566,1111,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586776158250900,23.4,59.9,566,1111,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586777181181300,13.8,59.9,566,1111,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586778199611000,23.1,59.8,566,1111,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586779224046000,22.5,59.9,567,1110,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586780248977500,20.6,59.8,567,1110,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586781272418500,14.1,59.9,567,1110,0,0,0,0,0,0,0,0,0,1,0,0,0
1704586782291360000,17.0,59.8,567,1110,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586783316291700,15.8,59.8,567,1110,0,0,0,0,0,0,0,0,0,1,0,0,0
1704586784337219900,17.6,59.9,567,1110,0,0,0,0,0,0,0,0,0,0,1,0,0
1704586785359156300,16.2,59.8,567,1110,0,0,0,0,1,1,0,0,0,0,0,0,0
1704586786377586000,14.8,59.8,567,1110,0,0,0,0,0,0,1,0,0,0,0,0,0
1704586787400516000,12.3,59.8,567,1110,0,0,0,0,0,0,1,0,0,0,0,0,0
1704586788424950800,13.1,59.8,567,1110,0,0,0,0,0,0,0,0,0,0,1,0,0
1704586789443877200,16.4,59.8,567,1110,0,0,0,0,0,0,0,1,0,0,0,0,0
1704586790464308800,15.4,59.8,567,1110,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586791485257400,17.5,59.8,567,1110,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586792509692400,14.9,59.8,567,1110,0,0,0,0,0,0,0,0,0,0,1,0,0
1704586793534624500,12.6,59.8,567,1110,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586794555552600,15.8,59.8,567,1110,0,0,0,0,0,1,0,0,0,0,1,0,0
1704586795576481000,11.8,59.8,567,1110,0,0,0,0,0,0,1,0,0,0,0,0,0
1704586796599410900,11.1,59.8,567,1110,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586797618841600,10.8,59.8,567,1110,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586798641273900,12.6,59.9,567,1110,0,0,0,1,0,0,1,0,0,0,1,0,0
1704586799665213000,19.0,59.9,567,1110,0,0,0,0,1,0,0,0,0,0,0,0,0
1704586800686651600,14.0,59.9,567,1110,0,0,0,0,0,0,1,0,0,0,0,0,0
1704586801711086800,11.3,59.9,567,1110,0,0,0,0,0,1,0,0,0,0,0,0,0
1704586802730012900,13.6,59.9,567,1110,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586803752943000,11.1,59.9,567,1110,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586804777378300,15.1,59.9,649,631,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586805800308200,19.1,59.9,1729,393,0,2,0,0,0,0,0,0,0,0,0,0,0
1704586806822741800,13.6,59.9,1346,642,1,0,0,0,0,0,0,0,0,0,0,0,0
1704586807845671800,21.4,59.9,1562,799,0,0,0,0,0,0,0,0,0,1,0,0,0
1704586808863106800,11.6,59.9,1577,734,0,0,0,0,0,0,0,0,0,7,0,0,0
1704586809881550100,14.6,59.9,1577,734,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586810901981400,11.6,59.9,1577,734,0,0,0,0,0,0,0,0,0,5,0,0,0
1704586811924911200,20.5,59.9,1544,898,0,0,0,0,0,0,0,0,0,16,0,0,0
1704586812945839400,13.5,59.9,1471,874,0,0,0,0,0,0,0,0,0,16,0,0,0
1704586813968272700,13.5,59.9,1330,995,0,0,0,0,0,0,0,0,0,16,0,0,0
1704586814993203900,12.6,59.9,1331,982,0,0,0,0,0,0,0,0,0,16,0,0,0
1704586816013635100,12.9,59.9,1341,962,0,0,0,0,0,0,0,0,0,16,0,0,0
1704586817036565300,12.8,59.9,1337,943,0,0,0,0,0,0,0,0,0,16,0,0,0
1704586818051013300,11.8,59.9,1329,941,0,0,0,0,0,0,0,0,0,15,0,0,0
1704586819071941400,14.1,59.9,1346,890,0,0,0,0,0,0,0,0,0,7,1,0,0
1704586820092869500,13.8,59.9,1349,831,0,0,0,0,0,0,0,0,0,0,10,0,0
1704586821117801400,14.8,59.9,1385,371,0,1,0,0,0,0,0,0,0,0,0,0,0
1704586822138729500,13.3,59.9,1403,373,0,2,0,0,0,0,0,0,0,1,0,0,0
1704586823161659200,25.4,59.9,1653,530,0,0,0,0,0,0,0,0,0,16,0,0,0
1704586824182587500,13.9,59.9,1570,572,0,2,0,0,0,0,0,0,0,0,0,0,0
1704586825205020700,14.7,59.9,1548,572,0,2,0,0,0,0,0,0,0,0,0,0,0
1704586826227950500,18.1,59.9,1141,684,0,1,0,0,0,0,0,0,0,0,0,0,0
1704586827250880400,14.6,59.8,1063,714,0,1,0,0,0,0,0,0,0,0,0,0,0
1704586828271326600,28.0,59.9,1265,620,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586829294256700,12.8,59.9,1194,150,0,0,1,0,0,0,0,0,0,0,0,0,0
1704586830315184600,14.2,59.9,1236,507,0,0,16,0,0,0,0,0,0,0,0,0,0
1704586831338114400,16.9,59.9,1234,511,0,0,14,0,0,0,0,0,0,0,0,0,0
1704586832356544100,22.2,59.9,977,890,0,2,0,0,0,0,0,0,0,0,0,0,0
1704586833381475500,17.0,59.9,960,616,0,1,0,0,0,0,0,0,0,0,0,0,0
