CPU,MEMORY,MOUSE_X,MOUSE_Y,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl
15.8,65.7,1203,647,0,2,0,0,0,0,0,0,0,0,0,0
16.5,65.7,1559,445,0,1,0,0,0,0,0,0,0,0,0,0
12.2,65.6,1256,722,0,0,0,0,0,0,1,0,0,0,0,0
16.3,65.7,677,773,0,1,0,0,0,0,0,0,0,0,0,0
15.3,65.7,96,886,0,1,0,0,0,0,0,0,0,0,0,0
18.3,65.7,930,905,0,1,0,0,0,0,0,0,0,0,0,0
18.5,65.7,898,895,0,1,0,0,0,0,0,0,0,0,0,0
15.8,65.6,1070,961,0,2,0,0,0,0,0,0,0,0,0,0
11.6,65.6,866,805,0,2,0,0,0,0,0,0,0,0,0,0
17.0,65.6,1129,903,0,3,0,0,0,0,0,0,0,0,0,0
