TIMESTAMP,CPU,MEMORY,MOUSE_POSITION,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl
1704412861129139200,11.9,63.2,"(935, 0)",0,3,0,0,0,0,0,0,0,0,0,0
1704412861644607700,12.1,63.1,"(924, 147)",0,3,1,0,0,0,0,0,0,0,0,0
1704412862663540400,14.3,63.2,"(1334, 319)",0,3,0,0,0,0,0,0,0,0,0,0
1704412863685973100,12.8,63.2,"(1168, 143)",0,1,0,0,0,0,0,0,0,0,0,0
1704412864710408700,15.3,63.2,"(937, 760)",0,3,0,0,0,0,0,0,0,0,0,0
1704412865732841200,12.2,63.2,"(1191, 735)",0,2,0,0,0,0,0,0,0,0,0,0
1704412866755771500,18.9,63.1,"(1112, 555)",0,0,0,0,1,0,1,0,0,0,0,0
1704412867778701400,10.7,63.2,"(1094, 541)",0,0,0,0,0,0,3,0,0,0,0,0
1704412868799131500,14.6,63.2,"(1084, 304)",0,2,0,0,0,0,2,0,0,0,0,0
1704412869822061500,12.8,63.2,"(1087, 27)",0,2,0,0,0,0,0,0,0,0,0,0
1704412870848994500,12.3,63.2,"(1083, 259)",0,2,0,0,0,0,2,0,0,0,0,0
1704412871873927000,16.9,63.1,"(1244, 54)",0,0,0,0,0,1,0,0,0,0,0,0
1704412872893357200,10.6,63.2,"(1550, 460)",0,2,0,0,0,0,0,0,0,0,0,0
1704412873915286300,15.5,63.2,"(929, 1014)",0,3,0,0,0,0,0,0,0,0,0,0
1704412874933212100,12.5,63.2,"(1042, 1157)",0,2,0,0,0,0,0,0,0,0,0,0
1704412875953139200,13.8,63.2,"(1570, 1156)",0,3,0,0,0,0,0,0,0,0,0,0
1704412876966060000,19.1,63.2,"(2014, 520)",0,4,0,0,0,0,0,0,0,0,0,0
1704412877982984600,12.4,63.2,"(2489, 452)",0,3,0,0,0,0,0,0,0,0,0,0
1704412879001414500,17.6,63.2,"(1503, 1085)",0,4,0,0,0,0,0,0,0,0,0,0
1704412880026346200,14.9,63.2,"(1240, 829)",0,3,0,1,0,0,0,0,0,0,0,0
1704412881050276700,13.8,63.2,"(1794, 856)",0,3,0,0,2,0,0,0,0,0,0,0
1704412882075713600,21.5,63.1,"(1782, 846)",0,0,0,0,0,0,0,0,0,0,0,0
1704412883100645400,45.9,63.5,"(1764, 768)",0,0,0,0,0,0,0,0,0,0,0,0
1704412884121573400,12.6,63.6,"(1648, 606)",0,0,0,0,0,0,0,0,0,0,0,0
1704412885144503200,13.8,63.5,"(1916, 277)",2,0,0,0,0,0,0,0,0,0,0,0
1704412886167432800,12.7,63.5,"(1709, 558)",0,0,0,0,0,0,0,0,0,0,0,0
1704412887188361100,13.4,63.5,"(1833, 617)",0,0,0,0,0,0,0,0,0,1,0,0
1704412888210794200,12.1,63.5,"(1997, 382)",0,0,0,0,0,0,0,0,0,4,0,0
1704412889231722400,14.2,63.5,"(1846, 506)",0,0,0,0,0,0,0,0,0,0,0,0
1704412890251649200,11.6,63.5,"(1721, 475)",0,0,0,0,0,0,0,0,0,0,0,0
1704412891285589300,19.7,63.5,"(1638, 507)",0,0,0,0,0,0,0,0,0,0,0,0
1704412892822490300,11.9,63.4,"(1928, 451)",0,0,0,0,0,0,0,0,0,0,0,0
1704412893338959300,18.3,63.4,"(1936, 432)",0,0,0,0,0,0,0,0,0,0,0,0
1704412894354890700,11.4,63.4,"(2506, 1080)",0,0,0,0,0,0,0,0,0,0,0,0
1704412895377820600,11.1,63.4,"(1326, 441)",0,0,0,0,0,0,0,0,0,0,0,0
1704412896400750700,12.8,63.4,"(1400, 501)",0,0,0,0,0,0,0,0,0,0,0,0
1704412897421180900,14.2,63.4,"(1376, 658)",0,0,0,0,0,0,0,0,0,0,1,0
1704412898442109000,12.8,63.3,"(2130, 68)",0,0,0,0,0,0,0,0,0,0,0,0
1704412899464542100,13.5,63.4,"(1984, 553)",0,1,0,0,0,0,0,0,0,0,0,0
1704412900480970200,14.2,63.4,"(2166, 441)",0,2,0,0,0,0,0,0,0,4,1,0
1704412901504901500,11.4,63.4,"(1723, 307)",0,0,0,0,0,0,0,0,0,0,12,0
1704412902526333500,12.2,63.4,"(1723, 307)",0,0,0,0,0,0,0,0,0,0,16,0
1704412903548767300,11.1,63.3,"(994, 195)",0,0,0,0,0,0,0,0,0,0,16,0
1704412905077660600,13.4,63.4,"(1406, 280)",0,0,0,0,0,0,0,0,0,0,0,0
1704412905593128900,14.0,63.4,"(2232, 0)",0,0,0,0,0,0,0,0,0,0,1,0
1704412906616563100,13.1,63.4,"(1663, 523)",0,1,0,0,0,0,0,0,0,0,0,0
1704412907638492000,17.2,63.4,"(1969, 581)",0,0,0,0,0,0,0,0,0,0,0,0
1704412909172389500,19.8,63.3,"(1274, 173)",0,0,0,0,0,0,0,0,0,0,0,0
1704412909687858200,13.4,63.4,"(1338, 281)",0,0,0,0,0,0,0,0,0,0,0,0
1704412910709289500,12.0,63.4,"(1429, 285)",0,0,0,0,0,0,0,0,0,0,0,0
1704412911733220800,15.3,63.4,"(1439, 273)",0,0,0,0,0,0,0,0,0,2,0,0
1704412912758656400,11.3,63.4,"(1257, 320)",0,0,0,0,0,0,0,0,0,16,0,0
1704412913781089500,18.2,63.3,"(915, 381)",0,0,0,0,0,0,0,0,0,0,1,0
1704412914802016700,14.4,63.4,"(875, 388)",0,4,0,0,0,0,0,0,0,0,15,0
1704412915824449900,11.7,63.4,"(0, 1026)",0,2,1,0,0,0,0,0,0,0,12,0
